,city,city_id,cloudiness,humidity,lat,lon,temp,windspeed
301,ler,3146125,0,51,63.2,10.3,35.6,17.22
303,luena,3347719,24,94,-11.78,19.91,60.56,2.62
304,wairoa,2206808,0,64,-39.04,177.43,74.33,7.2
306,biloela,2175819,100,67,-24.4,150.51,72.62,14.36
310,ondjiva,3346821,92,98,-17.07,15.73,64.79,3.85
311,goya,3433715,76,86,-29.14,-59.27,72.26,4.07
313,taoudenni,2450173,0,20,22.68,-3.98,71.54,9.33
316,cap malheureux,934649,75,88,-19.98,57.61,80.6,8.05
318,broken hill,2173911,0,48,-31.97,141.45,68.75,9.66
322,vao,588365,0,77,59.1,26.19,19.25,2.51
325,rio gallegos,3838859,75,75,-51.62,-69.22,46.4,3.36
326,itarema,3393692,92,92,-2.92,-39.92,78.02,6.76
329,ahipara,2194098,20,79,-35.17,173.16,70.55,6.2
330,aparecida do taboado,3471940,12,91,-20.08,-51.1,74.78,5.75
331,kodiak,4407665,90,80,39.95,-94.76,35.6,26.4
332,banda aceh,1215502,20,99,5.56,95.32,75.05,2.62
336,leh,1264976,80,90,34.16,77.58,13.58,1.61
337,rawson,3839307,76,41,-43.3,-65.11,71.54,4.41
339,steinbach,6156102,40,41,49.53,-96.69,23.0,8.05
345,lagoa,2267254,20,87,37.14,-8.45,59.0,13.87
347,ust-nera,2120048,56,83,64.57,143.24,21.86,2.62
352,barra do garcas,3470709,75,94,-15.89,-52.26,73.4,2.24
355,north bend,5742974,90,62,43.41,-124.22,51.8,9.17
356,lasa,146639,0,62,34.92,32.53,59.0,10.29
357,komsomolskiy,1486910,88,83,67.55,63.78,15.65,12.46
358,sorong,1626542,48,100,-0.86,131.25,79.82,2.51
360,east london,1006984,92,100,-33.02,27.91,72.71,4.18
361,port lincoln,2063036,0,87,-34.72,135.86,66.77,5.64
364,lompoc,5367788,20,72,34.64,-120.46,68.0,11.41
366,mujiayingzi,2035707,0,70,42.12,118.78,25.73,3.74
369,kamogawa,2112297,20,88,35.13,140.08,62.6,1.12
372,labytnangi,1500933,92,72,66.66,66.39,16.28,8.43
373,mahibadhoo,1337605,64,100,3.78,72.97,85.22,4.97
374,tiksi,2015306,48,76,71.64,128.87,5.39,5.41
375,lakes entrance,2160735,0,92,-37.88,147.99,62.81,1.16
383,denpasar,1645528,0,97,-8.65,115.22,75.86,1.61
384,airai,1651810,0,72,-8.93,125.41,77.39,2.06
387,marabba,370510,0,53,12.35,32.18,71.81,2.84
388,portland,5746545,90,50,45.52,-122.67,51.8,6.93
390,ugoofaaru,1337619,32,100,5.67,73.0,84.23,6.53
394,alta floresta,6316343,20,88,-9.87,-56.08,77.0,2.51
396,meulaboh,1214488,64,100,4.14,96.13,78.56,5.64
398,tsiroanomandidy,1054463,20,89,-18.77,46.05,61.19,5.53
401,seoul,1835848,90,76,37.57,126.98,53.6,10.29
402,pisco,3932145,0,64,-13.71,-76.2,75.2,21.92
403,lerici,3174856,40,81,44.07,9.91,53.6,9.17
405,jaciara,3460355,12,91,-15.95,-54.98,74.15,2.73
407,tahe,2034615,0,33,52.34,124.71,17.27,12.24
408,galle,4695361,1,69,29.74,-97.91,82.4,7.43
409,skibbereen,2961459,75,100,51.55,-9.27,44.6,6.93
415,cumana,3644768,24,78,10.46,-64.17,73.52,3.96
423,havelock,4470244,1,83,34.88,-76.9,78.8,16.11
424,cayenne,3382160,20,74,4.94,-52.33,80.6,4.7
425,opuwo,3354077,24,100,-18.06,13.84,59.66,3.74
426,grand gaube,934479,75,88,-20.01,57.66,80.6,8.05
427,haines junction,5969025,68,73,60.75,-137.51,13.13,2.95
430,provideniya,4031574,0,100,64.42,-173.23,32.0,13.42
431,ruiz,3988361,5,24,21.95,-105.15,82.4,13.87
434,marovoay,1059507,40,88,-16.11,46.64,80.6,2.24
436,xining,1788852,12,75,36.62,101.77,28.16,2.06
440,methoni,257122,0,87,36.82,21.7,46.4,4.7
441,senneterre,6144195,75,58,48.39,-77.24,24.8,11.41
442,beyneu,610298,8,77,45.32,55.19,39.23,7.76
446,bethel,5880568,1,58,60.79,-161.76,26.6,24.16
449,yulara,6355222,0,32,-25.24,130.99,66.2,6.93
450,yerbogachen,2012956,20,70,61.28,108.01,8.99,2.62
453,carutapera,3402648,8,95,-1.2,-46.02,77.93,5.08
459,okha,2122614,80,100,53.59,142.95,26.0,13.13
460,anadyr,2127202,0,85,64.73,177.51,17.6,6.71
463,honiara,2108502,75,94,-9.43,159.96,78.8,4.7
468,lake charles,4330236,90,74,30.23,-93.22,80.6,13.87
469,tessalit,2449893,0,23,20.2,1.01,65.06,3.4
471,ilulissat,3423146,20,78,69.22,-51.1,15.8,5.82
472,dingle,1714733,8,99,11.0,122.67,76.58,9.1
475,lalmohan,1185251,20,88,22.34,90.74,73.79,2.84
480,adrar,2508813,0,12,27.87,-0.29,80.6,9.17
484,konstancin-jeziorna,768216,0,86,52.08,21.12,41.0,2.24
488,hay river,5972762,40,60,60.82,-115.79,8.6,11.41
498,okhotsk,2122605,88,80,59.36,143.24,32.57,16.26
499,pangnirtung,6096551,75,63,66.15,-65.72,28.4,8.05
502,tiarei,4033356,75,62,-17.53,-149.33,87.8,3.36
507,mildura,2157698,0,73,-34.18,142.16,62.99,5.64
512,bay roberts,5895424,75,73,47.58,-53.28,26.6,4.7
515,wanaka,2184707,0,43,-44.7,169.14,60.56,12.01
517,zhangjiakou,2033196,92,97,40.77,114.88,29.6,9.44
520,chifeng,2038067,0,70,42.27,118.96,25.73,3.74
521,tobolsk,1489530,88,91,58.2,68.25,29.42,10.56
522,cockenzie,2652681,90,100,55.97,-2.97,37.4,9.17
523,ponta do sol,3453439,0,92,-20.63,-46.0,65.78,2.62
524,baykit,1510689,64,77,61.68,96.39,6.38,8.1
525,valparaiso,4927537,90,100,41.47,-87.06,48.2,5.82
529,auki,2339937,0,49,12.18,6.51,68.03,2.84
534,la colorada,3628952,75,78,7.55,-72.32,77.0,2.24
535,gigmoto,1712961,64,100,13.78,124.39,79.37,7.76
538,panalingaan,1695736,0,83,8.78,117.42,81.08,2.95
541,longyearbyen,2729907,0,55,78.22,15.63,8.6,17.22
542,xuddur,49747,88,96,4.12,43.89,69.47,2.73
543,flinders,6255012,20,100,-34.58,150.85,59.0,3.36
545,jabinyanah,2470260,20,77,35.03,10.91,62.6,6.93
546,jonkoping,2702979,75,95,57.78,14.16,33.8,11.41
547,nouadhibou,2377457,24,72,20.93,-17.03,66.2,18.34
550,nantucket,4944903,90,100,41.28,-70.1,39.2,19.46
551,sao borja,3449340,0,97,-28.66,-56.0,64.52,1.16
553,price,5545269,1,5,39.6,-110.81,50.0,5.82
554,grindavik,3416888,40,74,63.84,-22.43,30.2,14.99
555,namwala,901766,0,81,-15.75,26.45,68.21,7.76
557,wenling,1791464,92,97,28.38,121.38,63.44,1.61
563,yerky,701075,44,90,49.93,33.53,35.09,9.78
564,dafeng,1813088,92,100,33.2,120.46,49.94,24.76
567,san policarpo,1688696,100,100,12.18,125.51,79.37,8.1
571,isangel,2136825,36,100,-19.55,169.27,80.09,15.14
572,valladolid,3106672,76,91,41.65,-4.73,46.16,19.62
